Band,BW,Tx_Freq,Chan,Tx_level,Measured_Power,E_-1,E_+1,U_-1,U_+1,U_-2,U_+2,EVM,Freq_Err,IQ_OFFSET,RB_num,RB_start,MCS,Type,Tx_Path,SCS(KHz),RB_STATE,Sync_Path,AS_SRS_Path,Current(mA),Condition,Temp0,Temp1,Voltage_mipi,FBRX power,MIPI read
48,100,3650000,ch2,26,21.86411,-41.59437,-41.50243,-53.12892,-53.41916,-53.91224,-54.1011,1.942116,16.75899,-73.05678,137,68,QPSK,CP,TX2,30,INNER_FULL,Main,,,HTLV,,,,,
48,100,3600000,ch0,26,20.41106,-39.38311,-39.54015,-48.7667,-49.88335,-52.27072,-52.384,2.112771,-26.29666,-73.33298,273,0,QPSK,CP,TX2,30,OUTER_FULL,Main,,,HTLV,,,,,
48,100,3625000,ch1,26,20.37701,-39.09335,-39.20052,-48.63008,-49.68439,-51.87353,-52.18249,2.131068,20.28137,-73.49204,273,0,QPSK,CP,TX2,30,OUTER_FULL,Main,,,HTLV,,,,,
48,100,3650000,ch2,26,20.32771,-38.92692,-39.04772,-48.57001,-49.70159,-51.72466,-51.90556,2.13065,0.37597,-70.55511,273,0,QPSK,CP,TX2,30,OUTER_FULL,Main,,,HTLV,,,,,
77,100,3350000,ch0,26,24.57286,-43.96421,-43.66434,-55.75867,-54.59919,-56.90159,-55.69129,1.852714,-2.944389,-68.14737,135,67,QPSK,DFTS,TX2,30,INNER_FULL,Main,,,HTLV,,,,,
77,100,3750000,ch1,26,24.67576,-43.59657,-43.53928,-52.52151,-53.34292,-54.33244,-55.19898,1.719109,18.51055,-76.4567,135,67,QPSK,DFTS,TX2,30,INNER_FULL,Main,,,HTLV,,,,,
77,100,4150000,ch2,26,24.55095,-42.75698,-42.39209,-51.05924,-50.86573,-53.18172,-52.99415,2.163071,-26.6819,-73.90856,135,67,QPSK,DFTS,TX2,30,INNER_FULL,Main,,,HTLV,,,,,
77,100,3350000,ch0,26,23.57394,-41.48871,-41.02941,-49.95813,-52.82455,-55.31303,-55.07651,1.882052,21.71191,-68.60448,270,0,QPSK,DFTS,TX2,30,OUTER_FULL,Main,,,HTLV,,,,,
77,100,3750000,ch1,26,23.76638,-41.02728,-41.41364,-49.30752,-52.53529,-53.88884,-54.8787,1.65167,-19.9151,-73.0672,270,0,QPSK,DFTS,TX2,30,OUTER_FULL,Main,,,HTLV,,,,,
77,100,4150000,ch2,26,23.6311,-39.58602,-39.99453,-48.6036,-51.08456,-52.55355,-52.74988,1.972353,-36.59936,-72.01656,270,0,QPSK,DFTS,TX2,30,OUTER_FULL,Main,,,HTLV,,,,,
77,100,3350000,ch0,26,23.11256,-41.87762,-41.68719,-52.94069,-52.40805,-53.73629,-53.19956,2.586473,5.143848,-67.89531,137,68,QPSK,CP,TX2,30,INNER_FULL,Main,,,HTLV,,,,,
77,100,3750000,ch1,26,23.30512,-42.38659,-42.15387,-51.97379,-52.05905,-53.3366,-53.12644,2.851936,33.35356,-72.9183,137,68,QPSK,CP,TX2,30,INNER_FULL,Main,,,HTLV,,,,,
77,100,4150000,ch2,26,23.07819,-41.62114,-40.98043,-51.32578,-50.7076,-52.52706,-51.71601,3.038508,61.1189,-62.94977,137,68,QPSK,CP,TX2,30,INNER_FULL,Main,,,HTLV,,,,,
77,100,3350000,ch0,26,21.58797,-40.18424,-39.84844,-49.18833,-49.91883,-53.66301,-52.60202,2.34683,-7.770339,-66.20268,273,0,QPSK,CP,TX2,30,OUTER_FULL,Main,,,HTLV,,,,,
77,100,3750000,ch1,26,21.75033,-39.9069,-40.04958,-48.443,-49.72915,-52.42313,-52.44375,2.332254,-14.34366,-67.04324,273,0,QPSK,CP,TX2,30,OUTER_FULL,Main,,,HTLV,,,,,
77,100,4150000,ch2,26,21.58287,-38.84339,-39.11853,-48.01198,-49.15944,-51.5817,-51.77741,2.619961,33.64082,-62.4079,273,0,QPSK,CP,TX2,30,OUTER_FULL,Main,,,HTLV,,,,,
78,100,3350000,ch0,26,24.5326,-43.95229,-43.65651,-55.99898,-54.69336,-57.03913,-56.04309,1.845908,36.80502,-70.3448,135,67,QPSK,DFTS,TX2,30,INNER_FULL,Main,,,HTLV,,,,,
78,100,3550000,ch1,26,24.7605,-42.58304,-42.52213,-50.95446,-50.60181,-52.62076,-52.67191,1.854549,-7.351787,-74.1469,135,67,QPSK,DFTS,TX2,30,INNER_FULL,Main,,,HTLV,,,,,
78,100,3750000,ch2,26,24.72165,-43.58199,-43.46566,-52.20161,-52.92516,-54.17014,-54.99453,1.796759,35.56685,-72.57994,135,67,QPSK,DFTS,TX2,30,INNER_FULL,Main,,,HTLV,,,,,
78,100,3350000,ch0,26,23.68179,-41.55472,-41.07099,-50.01411,-52.77927,-55.65859,-55.03639,1.895235,-4.78396,-67.66096,270,0,QPSK,DFTS,TX2,30,OUTER_FULL,Main,,,HTLV,,,,,
78,100,3550000,ch1,26,23.8252,-41.28862,-41.6706,-50.02931,-53.06358,-55.43419,-55.72239,1.502245,28.53164,-79.42268,270,0,QPSK,DFTS,TX2,30,OUTER_FULL,Main,,,HTLV,,,,,
78,100,3750000,ch2,26,23.765,-41.01052,-41.431,-49.34273,-52.59468,-53.85077,-54.82041,1.681059,20.68482,-76.42403,270,0,QPSK,DFTS,TX2,30,OUTER_FULL,Main,,,HTLV,,,,,
